,Place_id,Name,Business_Status,Lat,Lon
51,ChIJLUoX0z5bkWsREYPCxZX4l64,Mt Gravatt Ambulance Station,OPERATIONAL,-27.5459621,153.0819646
52,ChIJdwI_tkNakWsRnK5rIXrOBlo,South Brisbane Ambulance Station,OPERATIONAL,-27.495719,153.041723
53,ChIJLWmppgBakWsR8atdIxt1MlU,Roma Street Ambulance Station,OPERATIONAL,-27.4657487,153.0157658
54,ChIJP5u6YipXkWsRVkJq3rBWyzQ,Ashgrove Ambulance Station,OPERATIONAL,-27.4489899,152.9682984
55,ChIJCVGm0K5okWsRPH6Pa-6xrHU,Redland Bay Ambulance Station,OPERATIONAL,-27.6114037,153.2890874
56,ChIJybduEd1vkWsRtl5Orkh_eeQ,Russell Island Ambulance Station,OPERATIONAL,-27.6479886,153.3820403
57,ChIJp4_f6nddkWsRQIu2JUnP8-M,Capalaba Ambulance Station,OPERATIONAL,-27.5426945,153.1901152
58,ChIJpd4bvN5mkWsRIx9Fzy451gM,Cleveland Ambulance Station,OPERATIONAL,-27.5280982,153.2549457
59,ChIJQUy7erBgkWsRULq4P9J9ZDQ,Birkdale Ambulance Station,OPERATIONAL,-27.4932684,153.2176202
60,ChIJG4EArwB_vGsRD8YGxxdLzo8,Meandarra Ambulance Station,OPERATIONAL,-27.3231074,149.8820536
61,ChIJcxFV4u9OvGsR5clZRo8dP7Y,Tara Ambulance Station,OPERATIONAL,-27.2762602,150.4553436
62,ChIJrSRlfGn3vWsR9HeudT2d94s,Dalby Ambulance Station,OPERATIONAL,-27.1855649,151.2603023
63,ChIJb_aERaNqlmsRrG87BQ0TsLs,QLD Ambulance Service,OPERATIONAL,-27.4333209,151.7191123
64,ChIJPfaOA0IjlGsRYbPHJGQUIy4,Toogoolawah Ambulance Station,OPERATIONAL,-27.0878959,152.3737857
65,ChIJ226MSKNVkWsRmtxWhRTNqQk,Samford Ambulance Station,OPERATIONAL,-27.3735656,152.8846318
66,ChIJSass7AZXkWsRZRbgb-BBr5A,Mitchelton Ambulance Station,OPERATIONAL,-27.4137679,152.9757306
67,ChIJb8D_kaP9k2sRnA4o_dJ6q1I,Eatons Hill Ambulance Station,OPERATIONAL,-27.3368799,152.9599388
68,ChIJJW0SuJoHlGsRwSPCnkLXNmQ,Dayboro Ambulance Station,OPERATIONAL,-27.1913003,152.8136013
69,ChIJRYpDBPdZkWsRR1INZKfsyhM,Spring Hill Ambulance Station,OPERATIONAL,-27.4613487,153.0289926
70,ChIJVVYWuHFZkWsRct0Z37BhiXE,Balmoral Ambulance Station,OPERATIONAL,-27.459581,153.0715324
71,ChIJ1ZRSBAVYkWsRv8klOp0nZJY,Chermside Ambulance Station,OPERATIONAL,-27.3851849,153.024108
72,ChIJqedqw4vik2sRdq_9cdgXbK8,Geebung Ambulance Station,OPERATIONAL,-27.3666037,153.057723
73,ChIJh_ojHvNfkWsRRsrmSilDHao,Wynnum Ambulance Station,OPERATIONAL,-27.4514116,153.1543462
74,ChIJj4Wa0Cl9kWsRTwNDtqUGlIs,Dunwich Ambulance Station,OPERATIONAL,-27.4972803,153.3999863
75,ChIJb1OpKQjmk2sRYxch9Em3suY,Redcliffe Ambulance Station,OPERATIONAL,-27.2336065,153.1091273
76,ChIJp-J3UDsQvmsRqrr6J41ponU,Jandowae Ambulance Station,OPERATIONAL,-26.7810936,151.110779
77,ChIJ5QKyrQn6k2sRa3RjJX0tf18,Narangba Ambulance Station,OPERATIONAL,-27.1867671,152.9355347
78,ChIJxw7aWsnzk2sRxWt6-JkRUHc,Caboolture Ambulance Station,OPERATIONAL,-27.0858965,152.9608921
79,ChIJp9aM6nr7k2sRzyk5nD2vNSs,Petrie Ambulance Station,OPERATIONAL,-27.2707543,152.9778761
80,ChIJnXqXyy7lk2sRgqsm4-XCnkc,North Lakes Ambulance Station,OPERATIONAL,-27.2403876,153.0224456
81,ChIJYbyRmmvjk2sRtOBdDgM0Vl4,Sandgate Ambulance Station,OPERATIONAL,-27.3121939,153.0433273
82,ChIJXyORtwLtk2sR-C7e9LQZZNs,Ningi Ambulance Station,OPERATIONAL,-27.0698077,153.0605086
83,ChIJLQkEceHqk2sR983Py3kk2V0,Bribie Island Ambulance Station,OPERATIONAL,-27.0832356,153.1595562
84,ChIJNXzM7ZEIUmoRg9shmvgtDHw,QLD Ambulance Service,OPERATIONAL,-26.6168265,144.2748508
85,ChIJW8glqxgjumsRIrn0ir58aeY,Roma Ambulance Station,OPERATIONAL,-26.573402,148.788932
86,ChIJTdZePiOivmsRgnsEMp7I3ok,Miles Ambulance Station,OPERATIONAL,-26.6593642,150.1837149
87,ChIJ24Hb5KN9vmsR3my-sZOOAuU,Chinchilla Ambulance Station,OPERATIONAL,-26.7412161,150.6241148
88,ChIJKcTkOTqylWsRyqQAuWKLnYs,Nanango Ambulance Station,OPERATIONAL,-26.6709102,151.9978104
89,ChIJGUqFnjSklWsRBS8GhW5xL0s,Kingaroy ambulance Station,OPERATIONAL,-26.5364864,151.8391334
90,ChIJowwOOLCHlGsRwm1Zr8iSmrE,Kenilworth Ambulance Station,OPERATIONAL,-26.5952889,152.7245358
91,ChIJ3RDInQZ5k2sRYKjNhgNs34I,Nambour Ambulance Station,OPERATIONAL,-26.6174989,152.9619261
92,ChIJCyUH-RGdk2sR9ieQkGTFMx8,Buderim Ambulance Station,OPERATIONAL,-26.7132685,153.0492076
93,ChIJBxBbJVuZk2sReHiNpeMVecs,Caloundra Ambulance Station,OPERATIONAL,-26.8019295,153.1200226
94,ChIJgxIltymfk2sRPnTZxNxaiC8,Birtinya Ambulance Station,OPERATIONAL,-26.7428953,153.1148458
95,ChIJ5TSYdkt2k2sR1xrd91BQI50,Maroochydore Ambulance Station,OPERATIONAL,-26.6627744,153.0653672
96,ChIJ285wmh-ek2sRVUrywza-vl4,Kawana Ambulance Station,OPERATIONAL,-26.7048742,153.1316043
97,ChIJ46iA9Lhxk2sR4sYqBDgQmHI,Coolum Ambulance Station,OPERATIONAL,-26.5407864,153.0769243
98,ChIJj9pdr8_AsGsRq2dwu-Fi5n0,Mitchell Ambulance Station,OPERATIONAL,-26.4875943,147.9754882
99,ChIJg_-gjwYblWsRkCLHEUG6WNU,Murgon Ambulance Station,OPERATIONAL,-26.2437444,151.9427767
100,ChIJb7pxyZVhk2sRV6WiiKkwAVs,Pomona Ambulance Station,OPERATIONAL,-26.3656534,152.8545816
101,ChIJXWiNgfNjk2sRvCElYEcz30A,Cooroy Ambulance Station,OPERATIONAL,-26.4162444,152.9143828
102,ChIJYdnexUOjlGsROmvbWXWl0aY,Gympie Ambulance Station,OPERATIONAL,-26.186067,152.6580824
103,ChIJQTCfWZdok2sRnjTh2RX8cgQ,Tewantin Ambulance Station,OPERATIONAL,-26.3937173,153.0268157
104,ChIJjbjdLGppk2sR0CUuPiUjXh4,QLD Ambulance Service,OPERATIONAL,-26.4086342,153.0907756
105,ChIJjXnbxwirs2sRL12-R-rZ_ck,Charleville Ambulance Station,OPERATIONAL,-26.4040654,146.2394234
106,ChIJh86xAwSt7GsRy5SXZREYNI8,Tin Can Bay Ambulance Station,OPERATIONAL,-25.917076,153.0037712
107,ChIJ9UfCvcLPuWsRUlZ8fcCwgp0,Injune Ambulance Station,OPERATIONAL,-25.8412576,148.5671412
108,ChIJlaeEBX61uGsRyZNFLO2HMf8,QLD Ambulance Service,OPERATIONAL,-25.6395931,149.8003177
109,ChIJcxQcL_xm62sR0OKewZBBljU,Maryborough Ambulance Station,OPERATIONAL,-25.5204843,152.6919207
110,ChIJdTo5R3Zx62sR_nHSk7xdQgY,Howard Ambulance Station,OPERATIONAL,-25.3215968,152.5600797
111,ChIJ20WEyUmA7GsRay_ixHD_hYk,Hervey Bay Ambulance Station,OPERATIONAL,-25.285839,152.8513508
112,ChIJraPE4ojGwGsRARLtX6JM7E0,Theodore Ambulance Station,OPERATIONAL,-24.9436164,150.0758857
113,ChIJP9Dew8tW6msRVCT8sW-UzLQ,Gin Gin Ambulance Station,OPERATIONAL,-24.9871036,151.9537687
114,ChIJI4dRuGm562sRgZjQhOrglmQ,Bundaberg Ambulance Station,OPERATIONAL,-24.8703527,152.3314215
